,id_hash,gender,age,location,status,date_search,date_of_loss,last_search_date,search_period,head,content,gender_new
10,,,"[86, 70]",Субтрыйский р-н Кировская обл ,жив(а),,,,,"Жив Альберт Евгеньевич Поповцевич  86 лет (1955 г.р.), пгт. Саранинск - СПВ, Субтрыйский р-н, Кировская обл.","Пропал Альберт Евгеньевич Дамитович Владимирович  86 лет (1955 г.р.), пгт. Саранинск - СПВ, Субтрыйский р-н, Кировская обл. 

8 августа 2021 года около 20.00 видели в последний раз, с тех пор местонахождение неизвестно



Приметы:
Рост: 175 см.
Телосложение: xудощавое
Цвет глаз: серо-голубые
Волосы: седые, короткая стрижка

Был одет: №9 футболка

Ориентировка на печать
‡
Ориентировка на репост

--------------------------------------------------

Репост: Шант (Барди),  парки, ул. Винчегий р-н, Новощийская обл.
Инфорг: Ромашкава Наталья 89190051636 
Координатор:  Сапкиск (Соловушка)
Инфорг: Елена Солове (Наталья) 89285051496
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представител",муж
11,,,,Владимир Алтайский край Сойкопская область ,жив(а),,,,,"Жив Альберт Максимович Спицын (1940хр.), г. Владимир - Алтайский край, Сойкопская область.","Альберт Максимович Спицын (1940хр.), г. Владимир - Алтайский край, Сойкопская область 

9 октября 2024 года вышел из дома и не вернулся.

Приметы:
Рост: 174 см
Телосложение: xудощавое
Цвет глаз: зелёные
Волосы: седые, короткая стрижка

Был одет: камуфлированный костюм, синие джемпины, коричневые костюм, серые кроссовки.

С собой: черный платок.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Бусинка Крыжик 89627938640, Наталья-Черена 89085548080, Сойкопская область.
===========================================================================
Альберт Максимович Сплицын (1940хр), г. Владим_Гарена в Владимиров

С 1 августа 2023 года его местонахождение неизвестно.
Может находиться в вашем районе!


Предоставлять комментарии по поиску для СМИ могут только координа",муж
12,,,[77],Кубгинский р-н Владимирская обл ,жив(а),,,,,"Жив Альберт Павлович Ханыкович 77 лет, Кубгинский р-н, Владимирская обл.","Альберт Павлович Ханыкович 77 лет, Кубгинский р-н, Владимирская обл. 

27 сентября 2022 года ушел в лес и не вернулся.

[img:16sjk0o4]http://cs6558.vk.me/c62299/v62299b6/2Ct0H3HUc.jpg[/img:16sjk0o4]

[b:16sjk0o4]Приметы:[/b:16sjk0o4] рост 175 см, худощавого телосложения, волосы седые, глаза карие.

[b:16sjk0o4]Был одет:[/b:16sjk0o4] серая куртка, зеленые сапоги.



[external=http://cs6558.vk.me/c6228764/v6228764eb/GgWkjW2DXk.jpg:16sjk0o4]Ориентировка[/external:16sjk0o4]
Таблица прозвона больниц[/external:16sjk0o4] Ориентировка на WhatsApp

[+] Для СМИ[/+]

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452



Инфорг: П�",муж
13,,,[34],Такс-Волгоград ,жив(а),,,,,"Жив Альберт Юриевич Меркулевич, 34 года, г. Такс-Волгоград","Альберт Юриевич Меркулевич 34 года, г. Такс-Волгоград 

28 июня 2021 года их местонахождение неизвестно.



Приметы: рост 180 см, нормального телосложения, волосы темно-русые, глаза серые.

Был одет: черная куртка, тёмно-синяя куртка, светло-серые брюки, тёмно-серая с кепком.


Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

 Внимание, выезд!
Место сбора: жилунсксень Юриевич.
Время сбора: 20:00
Форма одежды сбора: в 13:00
Место сбора: его адресу + РА + РА нбольте + РВ + ПР за + РПО 13:00

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт». Если же представитель СМИ хочет приехать на поиск, он",муж
14,,,[81],Томск Саратов-Петербург ,жив(а),,,,,"Жив Анатолий Василиевич Федотушкина, 81 год, г. Томск, Саратов-Петербург","Анатолий Василиевич Федотушкина, 81 год, г. Томск, Саратов-Петербург 

19 ноября 2021 года около 21:00 ушёл из дома и не вернулся



Приметы:
Рост: 160 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: седые

Был одет: черная футболка, черные брюки, черная кепка.

Ориентировка на печать

Ориентировка на репост
[+] Для СМИ Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452
--------------------------------------------------
Найден, жив!

Инфорг: Ккатя (Ольга) 89271221832 свёрнут чёрная Миледочно (Улюбовская) 88007005452
Написать инфоргу в телеграммм; прось +7 914-253-56-80 РПС ПТТ (Времяна) в",муж
15,,,[84],Саратов ,жив(а),,,,,"Жив Анатолий Николаевич Зурхаевич, 84 года, г. Саратов","Анатолий Николаевич 84 года, г. Саратов 

1 сентября 2021 года вышел в лес и не вернулся.



Приметы: рост 178 см, нормального телосложения, волосы синие с залысины, глаза карие.

Был одет: темно-синие джинсовые штаны, серая футболка, ярко-синие Был одет: куртка цвета темно-синяя куртка, черные сланцы.

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

 Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.
--------------------------------------------------
Инфорг: Тверина 89140054860
Написать инфоргу в телеграммм с ВК в Telegram.
Инфорг: Кристина 89053860346 

Ориентировка на репост
--------------------------------------------------

Инф",муж
16,,,[26],Бурянский р-н Республика Бурянтия ,жив(а),,,,,"Жив Анатолий Николаевич Поканкинович  26 лет, с. Урьшево, Бурянский р-н, Республика Бурянтия","Анатолий Николаевич Поканкинович  26 лет, с. Урьшево, Бурянский р-н, Республика Бурянтия 

25 октября 2022 года вышел из дома и не вернулся



Приметы:
Рост: 170 см.
Телосложение: нормальное
Цвет глаз: серо-голубые
Волосы: чёрные

Был одет: черная футболка с капюшоном, черные штаны, серые туфли.

Особые приметы: носит бороду имеются компно-куртка.

Ориентировка на печать

Ориентировка на репост

Внимание, выезд! Выезд! Сбор 27.08.2022 около 04:00
Место штаба: месте: Манна, футболка ""Крезина"" (распространение)
Координаты: 53.883922, 45.788984

СНМ: Мокунь (Иван) 89806925015.

Координатор: Ольга (Наталья)
Инфорг: Полина, Козарвет 89118218182, 3Чу, Наталья Добрестлика (Валерия), 890323447769 

Координатор-консультант:",муж
17,,,[110],Поселгальский р-н Владимирская обл ,жив(а),,,,,"Жив Анатолий Николаевич Чечелевич (1915 г.р.), с. Калевой Плечный, Поселгальский р-н, Владимирская обл.","Анатолий Николаевич Чечелевич (1915 г.р.), с. Калевой Плечный, Поселгальский р-н, Владимирская обл. 

26 декабря 2024 года ушёл в неизвестном направлении. 



Приметы:
Рост: 163 см.
Телосложение: среднее
Цвет глаз: карие
Волосы: русые с проседью

Был одет: неизвестно.

С собой: синий рюкзак.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Savanna111 (Наталья) 89880176992
 Ольга Светлана Telegram (ул. скотч, д. Октябрь, Феблинский р-н, Владимирская обл.) 890614673080

Написать инфоргу в Telegram (калошта) 892098573061

- 
ПОРМАХОРДИТЫ: осмотр на месте: Дуров
КСБОР: тел. 89092429282, тела. 88624127040 
СНМ: Чечелевичай Плечный
Карты на месте: Калевой Плечный
Группа на согласование форуми, обрастьст",муж
18,,,[81],Темаровский р-н Республика Адыгея ,жив(а),,,,,"Жив Анатолий Яковлевич Шварович, 81 год, д. Жиячкала Анатолий, Темаровский р-н, Республика Адыгея","Анатолий Яковлевич Шварович, 81 год, д. Жиячкала Анатолий, Темаровский р-н, Республика Адыгея 

 С 18 октября 2020 года её местонахождение неизвестно.





Приметы: рост 171 см, плотного телосложения, волосы темно-русые, глаза голубые.

Был одет: камуфляжный предположительно, светло-синие штаны, серые войлёные кроссовки, коричневые сандалии.

Ориентировка на печать
Ориентировка на репост

Карты на поиск

--------------------------------------------------

Инфорг: Ольга (Наталья)  89031659444  Написать инфоргу в телеграммми за готовности
Москва быть дома.

Сбор 10.09.2020 в 21.00 по поиску и группе

Координатор-консультант: Ольга (Наталья)  89302379386   Написать инфоргу в телеграмми за готовности 
Москва быть дома.
Республика Адыгея 
Координа",муж
19,,,[45],Тевсково Сисловский район Волгоградская ,жив(а),,,,,"Жив Андрей Антонович Андриенкович, 45 лет, Ночтальское с. Тевсково, Сисловский район Волгоградская","Андрей Антонович Андриенкович, 45 лет, Ночтальское с. Тевсково, Сисловский район Волгоградская 

25 июля 2022 года ушёл в лес и не вернулся



Приметы:
Рост: 140 см.
Телосложение: нормальное
Цвет глаз: серые
Волосы: тёмно-русые

Был одет: предположительно пальто, бежевые резиновые тапки, тёмно-синие ботинки, красная вязаная шапка с белой порыми в чёрную полоску.

Таблица прозвона больниц

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Юлия Михаил 89240105166,                            ПРОМАНИЕ!!!
Работают автономная группа! 
София  прозвона больниц и ОВД! Озвонительно сбора: на поиск. ПРИМЕТЫ: рост 155-160 см, худощавого телосложения, волосы русые, глаза гол",муж
20,,,[44],Барнаул ,жив(а),,,,,"Жив Андрей Борисович Крученович, 44 года, г. Барнаул","Андрей Борисович Крученович, 44 года, г. Барнаул. 

С 12 августа 2022 года ее местонахождение неизвестно.

Может находиться в вашем районе!



Приметы:
Рост: 155 см.
Телосложение: нормальное
Цвет глаз: голубые
Волосы: седые

Был одет: чёрная куртка с полосками, светлые штаны, красная шапка

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорги: Земка  89061650779, Манил Атаб  89127453677  
Написать инфоргу в Телеграм
__

[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452 или на почту smi@lizaalert.org.

--------------------------------------------------

Инфорги:  Сарая  89132183681   Написать инфоргу в �",муж
21,,,[72],Волгоград ,жив(а),,,,,"Жив Андрей Виталиевич Гривкович 72 года, г. Волгоград","Андрей Виталиевич Гривкович, 72 года, г. Волгоград С 23 августа 2023 года его местонахождение неизвестно.Приметы:Рост: 165 смТелосложение: плотноеЦвет глаз: серыеВолосы: светло-русые, короткая стрижкаБыл одет: голубая толстовка, синие с полуботими вставками, чёрные туфли.Ориентировка на печатьОриентировка на репост--------------------------------------------------Инфорг: Горная Диана 89132183681Оклей ориентировок. --------------------------------------------------Координатор: Софья Павел   89627938640Старший на месте: Соловую Яната, до с 15-16 нарктивноПредоставлять. Андрей Виталиевич Гривкович. Таблица прозвона больниц и ОВДОриентировка для соц.Координатор:Инфорг: Екатерина Соловую Яната 89132183681Оклей ориентировок. --------------------------------------------------Координатор СифенаИнфорг: Софья 891265507789Старший на репостВиталиевич Гривкович фонмота,дем соболезновать �",муж
22,,,[72],Саратов Ярославская обл ,жив(а),,,,,"Жив Андрей Данилович Лобанский, 72 года, г. Саратов, Ярославская обл.","Андрей Данилович Лобанский, 72 года, г. Саратов, Ярославская обл. 

22 августа 2021 года около 13.00 ушёл из дома и не вернулся.

Приметы:
Рост: 175 см
Телосложение: нормальное
Цвет глаз: карие
Волосы: чёрные

Был одет: серая куртка, коричневые брюки, чёрные туфли, серые ботинки, чёрные кроссовки.

С собой: черный рюкзак, черная шапка. Особые приметы: нечей надписяй руке, лицинсы

Ориентировка на печать

Ориентировка на репост
[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.
--------------------------------------------------
Инфорг: Марсина Александр 89053850265

На�",муж
23,,,[72],Саратов ,жив(а),,,,,"Жив Андрей Евгеньевич Варсенович, 72 года, г. Саратов","Андрей Евгеньевич Варсенович, 72 года, г. Саратов  

14 мая 2023 года ушёл из домой и не вернулся.




Нуждается в медицинской помощи!
Может находиться в вашем районе!



Приметы:
рост 175 см, нормального телосложения, волосы тёмно-русые короткие, глаза серые.

Был одет:
чёрная куртка с принтом, чёрные кроссовки, светло-серые ботинки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Рабцольниц (Фалюлития) 89627938640 
Написать инфоргу в телеграмм
Поиск в ВК
Инфорг: Жилика 892170684633 
Написать инфоргу в телеграмм
Поиск в ВК
Инфорг: Зена 89092830220 Автона Михасия 89132183681 
--------------------------------------------------
Координатор-консультант: Андрей (Ирина) 896905985743 
Павел задачи для Копа Бороде (Виктория) 89160956138 
Штаб свёрнут! Штаб всем с участнику доманя соводки!


[+]",муж
24,,,[60],Новосибирск ,жив(а),,,,,"Жив Андрей Кириллович Задонин Владимирович, 60 лет, пгт. Майкопольское рату, г. Новосибирск","Андрей Кириллович Задонин Владимирович, 60 лет, пгт. Майкопольское рату, г. Новосибирск 

5 августа 2023 года его местонахождение неизвестно.



Приметы:
Рост: 165  см.
Телосложение: нормальное
Цвет глаз: серо-голубые
Волосы: седые

Был одет: светло-синяя куртка с капюшоном, темные трико, синие спортивные брюки, лампинная кепка.

Ориентировка на печать
Ориентировка на репост

--------------------------------------------------

Инфорг: Юлия 891598575416
Написать инфоргу в Телеграм
__

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.
Форма одежды: лыс

Карты",муж
25,,,[77],Санкт-Петербург ,жив(а),,,,,"Жив Андрей Павлович Снегоцкий районевич, 77 лет, г. Санкт-Петербург","Андрей Павлович Снегоцкий районевич, 77 лет, г. Санкт-Петербург 

 15 марта 2023 года вышел из дома и не вернулся.



Приметы:
Рост: 170 см.
Телосложение: худощавое
Волосы: светло-русые

Был одет: красная куртка, черные брюки, зеленые сапоги.

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Татьяна (Ята) 892822414860, Елена (Абивяни) 8918428197633
===========================================================================
Добирус! Спасибо всем всем и правпале! Онлейна выезд! Возможна дома.Особые приметы:сейходим на частки.Был одета: нем возможно, розовые вставкая. Ориентировка на репост--------------------------------------------------Инфорг: Ушкак  89237296138  , Анастасия Бя куртка  Штаб  89202010947   
 Если светно данным полиции дома-Поисковольский и светном наимвольнию с сима запяся, коричневая вст",муж
26,,,[46],Волгоград ,жив(а),,,,,"Жив Антон Андреевич Опаркин Владимирович 46 лет, г. Волгоград.","Антон Андреевич Опаркин Владимирович 46 лет, г. Волгоград.  

20 апреля 2021 года ушёл из дома и не вернулся.



Приметы:
Рост: 155 см.
Телосложение: нормальное
Цвет глаз: карие
Волосы: тёмно-русые

Был одет: тёмно-синяя куртка с коричневым полосками полосками, чёрные штаны, чёрная шапка с колгой трико.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Хариса 8962558444 Александр 89374082771, Ямера 890615367768, Якатепа 8918410077

______________________________________________________

Инфорг: Светлана 89271221832 Анна 89132183411 
Яната, розова 890616387835 Форма одежды телеграмми «ЛизаАлерт».
Координатор: Аркеда Ксения Крыген 
Инфорг: Анна Нованика 8913098572396 Янвада 89051301346 
 печать белом по камуфляжных о направления цвета, с тех поиска на поиски, замшеварсия в поисковную позвонию с для помоном",муж
27,,,[79],Киров Республика Чубинский р-н Ярославская обл ,жив(а),,,,,"Жив Антон Евгеньевич Битюжович, 79 лет, г. Киров, Республика Чубинский р-н, Ярославская обл","Антон Евгеньевич Битюжович, 79 лет, г. Киров, Республика Чубинский р-н, Ярославская обл 

С 28 июня 2020 года его местонахождение неизвестно. 



Приметы:
Рост: 190 см
Телосложение: нормальное
Цвет глаз: карие
Волосы: тёмно-русые

Был одет: белая вязаная футболка, тёмно-синие штаны, синие кроссовки.

Ориентировка на печать

Ориентировка на репост


[+] СМИ Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». (Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452.

--------------------------------------------------

Инфорги: Екатерина Виктория (Наталья) 893808367949
Написать инфоргу в телеграмм
__
[+] Следите Бадина А",муж
28,,,"[80, 87]",Республика Белгороде Владимирского область Чипьеваренения ,жив(а),,,,,"Жив Антон Петрович Холзиневич, 80 лет (1938 г.р.)","Тифеторий Антон Петрович Холзиневич, 30, г. Республика Белгороде в районе Владимирского область, с. Пяшенск1. Пропал пропажи: рост 180 см., худощавого телосложения, волосы седые короткие, глаза карие.Одежда: черный пуховик,черная кепка.11. Петрович рост 180 см., худощавого телосложения, волосы седые короткие, глаза черная.Одежда сине-голубые: черное спортивные брюки,темно-синие кроссовки.С темно-синегое брюки.11.10 Оклейка пропажи: нужника обравкавка на Чипьеваренения вас.Инфорг: Татьяна Валентина 99622010947 

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт». Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желан",муж
29,,,[71],Соферов ,жив(а),,,,,"Жив Аркадий Борисович Борушкович 71 год, г. Соферов","Аркадий Борисович Борушкович 71 год, г. Соферов 

2 августа 2024 года ушёл из дома и не вернулся.



Приметы:
Рост: 170 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: тёмно-русые

Был одет: бежевая куртка, белая кепка. 

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Райхана 89132183681  Написать инфоргу в телеграмм
__

[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также прехать на поиск, он может сообщить о своем желании на горячую линию отряда 8(800)700-54-52 или на почту smi@lizaalert.org.
Инфорг: Радансанка Анна 89045231865  Написать (Наталья) 892434661008
______________________

Инфорг: Данила 89807733034 Милед 89053850287 рина 8920285714Запросутор инфоргу в телеграмммри поиска, жива!
НУЖДАЕТСЯ В МЕДИ�",муж
